                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.67232,                0.41899,                 1.1522,                0.97053,                0.95471,                0.98481,                0.75529,                0.85948,                0.36912,                 1.2467,                 0.0008,                 0.0008,                 0.0008
                     62,                0.66462,                  0.416,                 1.1529,                  0.971,                0.95031,                 0.9812,                  0.761,                0.86374,                0.36952,                 1.2459,                0.00078,                0.00078,                0.00078
                     63,                0.66325,                0.41764,                 1.1486,                0.95529,                0.96066,                0.98055,                0.75791,                0.85521,                0.37497,                 1.2436,                0.00076,                0.00076,                0.00076
                     64,                  0.658,                0.41252,                 1.1514,                0.96834,                0.96273,                0.98274,                0.76549,                0.84171,                0.35825,                 1.2412,                0.00074,                0.00074,                0.00074
                     65,                0.64943,                 0.4095,                 1.1386,                0.96952,                0.95031,                0.97834,                0.76309,                0.85845,                0.36368,                 1.2539,                0.00072,                0.00072,                0.00072
                     66,                0.64207,                0.40038,                 1.1352,                0.95845,                0.96894,                0.98234,                0.75673,                0.84828,                0.35935,                 1.2398,                 0.0007,                 0.0007,                 0.0007
                     67,                 0.6435,                0.39885,                 1.1354,                0.97068,                0.95956,                0.98369,                0.75641,                0.87507,                0.36738,                 1.2716,                0.00068,                0.00068,                0.00068
                     68,                  0.627,                0.39158,                 1.1178,                0.96636,                0.95162,                0.98203,                0.75918,                0.86845,                0.36662,                 1.2668,                0.00066,                0.00066,                0.00066
                     69,                0.64218,                0.39385,                 1.1298,                0.96564,                0.95859,                0.98058,                 0.7418,                 0.8756,                0.37558,                 1.2706,                0.00064,                0.00064,                0.00064
                     70,                0.62979,                0.38981,                 1.1329,                 0.9704,                0.95034,                0.98005,                0.76361,                0.86202,                0.35778,                 1.2595,                0.00062,                0.00062,                0.00062
                     71,                0.61554,                0.38064,                 1.1254,                0.95784,                0.96273,                0.98434,                0.75978,                0.84184,                0.35758,                 1.2477,                 0.0006,                 0.0006,                 0.0006
                     72,                0.62531,                0.38918,                 1.1244,                0.95274,                0.95992,                0.97166,                0.74463,                0.86707,                0.36439,                 1.2624,                0.00058,                0.00058,                0.00058
